model,bytes,planned_bytes,flash_total_bytes,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_executorch_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_shared_merged_strings_bytes,flash_validation_fixtures_bytes,runtime_static_bytes,sha256,firmware_sha256,elf_sha256
kws,42800,40000,349380,75120,117920,39188,9740,20228,5964,32135,1506,348,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,ed47f9a2567631ae674f26804962160856661fb59a2d56569b7eb7573529fa89,432e7f1014fbab647e700767ac1475ea4636e7d2e1730941c458db9c1eb2840e
ic,95896,49728,396876,63840,159736,39188,5592,14156,4904,30099,9246,288,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,30bab0e46bb4fc5c9b6e143cafb1115eb7ef2df08102f3027a4e8d95ec35b744,f13d8ec853e141f52c3aa38aaa7f419568ddced23ab862ca4434a46f3c7419aa
vww,267848,73728,649804,70864,338712,39188,6092,20228,5356,30339,82950,288,96a08cfe11bc319397c50b2f6472ab332cbe735d86d9c1ddf2dff9250dc89bf8,abee12eef2f9ee55426df94542002f4189864e39d14d701af8aa38bfd50c2e9a,30c1f9fb2dd7ac684e8e513571fb37cf74714ff15addc03551111732eb888e24
ad,279968,768,552308,44092,324060,39188,584,1552,2768,26779,3840,192,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,df87447fbbaee5f75d32b7bc1a2278a992e8b118147634aa94b81775a8805183,afe37f244faa86b4cecc0511b5b4e6fd3b2de3326933ff5bdc261cd47f2beea0
