model,bytes,planned_bytes,flash_total_bytes,flash_runtime_filtered_bytes,flash_model_plus_runtime_bytes,flash_executorch_core_bytes,flash_kernels_bytes,flash_cmsis_nn_bytes,flash_registry_bytes,flash_shared_merged_strings_bytes,flash_validation_fixtures_bytes,runtime_static_bytes,sha256,firmware_sha256,elf_sha256
kws,42800,40000,349892,75120,117920,39188,9740,20228,5964,32219,1506,348,c17e6b1755d07723478a2f998498903188e47ae11727bb195f4f35519c106596,59b9814be464e1c7b1b4ef16d0dbd7430a63ecf5fdbe9427b9766d253d66c2f2,b9baaf6fa4328e3f88b069f22a7ecd2886773db7053ded578ca335e6785d3d60
ic,95896,49728,397388,63840,159736,39188,5592,14156,4904,30183,9246,288,f6b45275c23e058ad98466e585443ed9a37d71afca6b5468a902413ce4c29a40,82d9d3525fca09cae9107a5e2fdc02535b6098956858ade3f8fe2a5079873449,0767ef02752bef150ebd64af506d300ea3e1efc89bb04db3c36a5b6853981319
vww,267848,73728,650316,70864,338712,39188,6092,20228,5356,30423,82950,288,96a08cfe11bc319397c50b2f6472ab332cbe735d86d9c1ddf2dff9250dc89bf8,a2b55fe00d7c6b2add8ddd6bd8e9bcc8499e4772b357ff659f72750ad156afb8,a45cf8bde2af47e49ec1aba1aabdb31c91bc03d6f7f90a8894a139697399af55
ad,279968,768,552820,44092,324060,39188,584,1552,2768,26863,3840,192,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,0475db4017bc88fb28036003554d448c07319197ec5e25eedadbe09e7fe226f4,ef16f5c758369b5294c1e6ce0969124811b7b2a236707378b2e0227f1ee65662
