model,tflm_mean_ms,et_mean_ms,tflm_ram_bytes,et_ram_bytes,tflm_model_runtime_flash_bytes,et_model_runtime_flash_bytes,latency_change_percent,ram_change_percent,flash_change_percent
kws,6.0368991916666666,6.3519295,28136,50462,148848,117920,5.218412604407918,79.35029854990047,-20.77824357734064
ic,15.720398091666667,15.24094885,55816,62872,193068,159736,-3.0498543285670365,12.64153647699584,-17.264383533262894
vww,23.901726016666665,21.492133941666665,101560,124116,428200,338712,-10.081247158969987,22.209531311539976,-20.898645492760394
ad,1.2028030666666667,1.2180624833333333,9876,6944,308416,324060,1.268654619326437,-29.688132847306605,5.072369786262709
