model,runtime,first_samples,warm_samples,first_mean_ms,warm_mean_ms,first_mean_cycles,warm_mean_cycles,extra_us,extra_cycles,change_percent,first_min_ms,first_max_ms,min_boot_extra_us,max_boot_extra_us,source
kws,TFLM,3,300,6.146326666666667,6.0368991916666666,2458530.6666666665,2414759.6766666668,109.42747500000041,43770.990000000165,1.8126437352317337,6.1427,6.148770000000001,105.12974999999915,113.0086250000004,e8-tflm-tiny-2026-09-16.json
ic,TFLM,3,300,15.730540000000001,15.720398091666668,6292216.0,6288159.236666667,10.141908333333049,4056.7633333332196,0.0645143225648237,15.718815000000001,15.7536,-1.8728250000003754,31.140800000001036,e8-tflm-tiny-2026-09-16.json
vww,TFLM,3,300,23.9631525,23.901726016666668,9585261.0,9560690.406666666,61.426483333332726,24570.59333333309,0.25699601480873024,23.945010000000003,23.973119999999998,41.55265000000145,71.58932500000083,e8-tflm-tiny-2026-09-16.json
ad,TFLM,3,300,1.20822,1.2028030666666667,483288.0,481121.2266666666,5.416933333333418,2166.773333333367,0.4503591222414727,1.2081300000000001,1.2083325,5.333325000000059,5.541999999999916,e8-tflm-tiny-2026-09-16.json
kws,ExecuTorch v4,3,300,6.442565,6.339553191666667,2577026.0,2535821.276666667,103.01180833333365,41204.72333333346,1.6249064440178929,6.43569,6.4501800000000005,95.70682500000021,110.72377499999948,e8-et-tiny-2026-09-16-v4.json
ic,ExecuTorch v4,3,300,15.230085,15.172445224999999,6092034.0,6068978.09,57.639775000001464,23055.910000000586,0.37989773003119787,15.21969,15.23985,48.41062500000044,67.27957500000048,e8-et-tiny-2026-09-16-v4.json
vww,ExecuTorch v4,3,300,21.480106666666668,21.426761675,8592042.666666666,8570704.67,53.34499166666501,21337.996666666004,0.24896432076764174,21.47794,21.483420000000002,51.07127499999842,57.37462500000038,e8-et-tiny-2026-09-16-v4.json
ad,ExecuTorch v4,3,300,1.216845,1.2088006,486738.0,483520.24,8.044399999999996,3217.7599999999984,0.6654861025052528,1.2167999999999999,1.21689,7.948349999999891,8.103475000000117,e8-et-tiny-2026-09-16-v4.json
