framework,model,profile,logging,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,excluded_support_bytes,model_sha256,firmware_sha256,elf_sha256,bundle,registration_policy,measurement_scope,mean_latency_ms,mean_cycles,accounted_inference_ram_bytes
TFLM,ad,size,False,276976,9748,7978,2060,5684,234,294702,419444,124742,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,c084092aba8db274590cde93042b2e9b63eff0baef43c7e13d766b431b5d1bba,855b996391e7d496f393bc2861151a1a18213fea3f1de63d7712cf4b36abaeed,build-e8-tflm-tiny-artifacts-v3,cmsis_nn_int8_when_compatible,current_flash_e8_rerun_pending,,,
ExecuTorch,ad,latency,True,279968,23808,4040,456,1552,2032,307816,461092,153276,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,f255fa53cc64a5e6809d5ea72bacbb593213504bf67d15446fe69740dec3423c,7b2594239173cd27b3dcd3e7aeb2ad0fb821848e7cc0a5a27ebe3736891881d1,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
ExecuTorch,ad,size,False,279968,12398,2924,280,1552,1092,295290,425700,130410,3c05f548efda4eba60dbf9b5c8cf514fd46ef664ab10690f9893a63720e3ccb6,3784f10edceb5052f2cbabaab735567fb284ecdd304b8795f1ec1e3f3a141f70,ae755373349ae7392204fe10398340fef5cb7a52fbdc6ab9092d1d4f51c72c1d,build-e8-et-tiny-artifacts-v5,export_selected_cortex_m,current_flash_e8_rerun_pending,,,
TFLM,kws,historical_O3,True,53936,18032,76880,18508,56776,1596,148848,,,,,d5bf4881707f14304ec04c721dd9ce9b1905a96c58ba64504e5d61a4524296c6,build-e8-tflm-tiny-artifacts,generic,historical_e8_400mhz_logging_on,6.0368991916666666,2414759.6766666668,28136
ExecuTorch,kws,historical_O3,True,42800,39188,35932,9740,20228,5964,117920,,,,,432e7f1014fbab647e700767ac1475ea4636e7d2e1730941c458db9c1eb2840e,build-e8-et-tiny-artifacts-v4,export_selected_cortex_m,historical_e8_400mhz_logging_on,6.339553191666667,2535821.276666667,49916
TFLM,ic,historical_O3,True,98496,17968,76604,31692,43312,1600,193068,,,,,8549a14b747bcba38f3e1d630151051466df1ee4dbd347fc082e86a4ab8aa863,build-e8-tflm-tiny-artifacts,generic,historical_e8_400mhz_logging_on,15.720398091666667,6288159.236666666,55816
ExecuTorch,ic,historical_O3,True,95896,39188,24652,5592,14156,4904,159736,,,,,f13d8ec853e141f52c3aa38aaa7f419568ddced23ab862ca4434a46f3c7419aa,build-e8-et-tiny-artifacts-v4,export_selected_cortex_m,historical_e8_400mhz_logging_on,15.172445224999999,6068978.09,59744
TFLM,vww,historical_O3,True,333288,18032,76880,18508,56776,1596,428200,,,,,31b5d9b1fa36ec78a9f2dca6b2fc1b0009023d57e9aa6847528f4c7d612bc834,build-e8-tflm-tiny-artifacts,generic,historical_e8_400mhz_logging_on,23.901726016666665,9560690.406666666,101560
ExecuTorch,vww,historical_O3,True,267848,39188,31676,6092,20228,5356,338712,,,,,30c1f9fb2dd7ac684e8e513571fb37cf74714ff15addc03551111732eb888e24,build-e8-et-tiny-artifacts-v4,export_selected_cortex_m,historical_e8_400mhz_logging_on,21.426761674999998,8570704.67,96412
TFLM,ad,historical_O3,True,276976,16652,14788,4292,10224,272,308416,,,,,d5eb8c46cda00c83432abedd6245c413a30737eade2569b6c0ee5f469d8f7814,build-e8-tflm-tiny-artifacts,generic,historical_e8_400mhz_logging_on,1.2028030666666667,481121.2266666667,9876
ExecuTorch,ad,historical_O3,True,279968,39188,4904,584,1552,2768,324060,,,,,afe37f244faa86b4cecc0511b5b4e6fd3b2de3326933ff5bdc261cd47f2beea0,build-e8-et-tiny-artifacts-v4,export_selected_cortex_m,historical_e8_400mhz_logging_on,1.2088006,483520.24,6248
