framework,model,profile,logging,inference_memory,model_bytes,core_bytes,operators_bytes,kernels_bytes,cmsis_nn_bytes,registry_bytes,model_operators_core_bytes,full_mram_bytes,model_sha256,firmware_sha256,elf_sha256,bundle,build_id,mean_cycles,mean_latency_ms,accounted_inference_ram_bytes,measurement_scope,excluded_support_bytes,registration_policy,boots,measured_inferences,results_file
TFLM,ad,latency,True,dtcm,276976,11030,8696,2734,5684,278,296702,430660,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,9aeba8809137865ca5fe48118436c1d16baff121ed85b59cf1156104524661e2,b553e5831c92015f23af00267faae29ca61aa048d52ae3f147425bf519234f5c,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-latency,458240.4066666667,1.1456010166666666,9876,E8 DTCM logged board run,,,,,
TFLM,ad,size,False,dtcm,276976,9748,7978,2060,5684,234,294702,419444,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,81f7de091e84ae49759a95d2480e8b84c754e54e09affe5eb5ef386324d22239,052bda3fef66749b4a0c9a6d9ece3eef621c3b4efc7658410225e00636bfe1dc,build-e8-tflm-tiny-artifacts-v4-dtcm,build-e8-tflm-tiny-artifacts-v4-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
ExecuTorch,ad,latency,True,dtcm,279968,23808,4040,456,1552,2032,307816,458516,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,3ac81b813386a1484acbf0bda8a8a119c45cd09754e3e094516ec65d050944b3,5574353e5068268fc8e15b6c379ad4c621c60ff3a0de21c01da77f1d68c2f03c,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-latency,473639.11,1.184097775,6248,E8 DTCM logged board run,,,,,
ExecuTorch,ad,size,False,dtcm,279968,12398,2924,280,1552,1092,295290,423108,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,6eb5f4fa6e10b4defc06defe3a945c09326ed2bc905df0cd66aa02c3dc7d04a0,78439dec907c2b8a251a24996d268b5a1ece282d21ad474c0d0c3a5ddcdf96ea,build-e8-et-tiny-artifacts-v7-dtcm,build-e8-et-tiny-artifacts-v7-dtcm-size,,,,Flash only; silent latency/RAM unmeasured,,,,,
TFLM,kws,sram_baseline_latency,True,sram,53936,11870,34154,10964,22648,542,99960,239092,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,869fc9ff584a420249687eb56abe0331a856331900ba5dd9136d016b6c98bd7e,d65f9d405c428f22da5826956f0068868873be641347182edaf85242e7eb0c7d,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v3-latency,2415103.4566666665,6.037758641666667,28136,current_e8_400mhz_logging_on,139132,cmsis_nn_int8_when_compatible,3,300,e8-tflm-tiny-2026-09-17-v3.json
TFLM,kws,sram_baseline_size,False,sram,53936,10548,31314,8190,22648,476,95798,222212,aeea436800704fce17b17292e4412630ad856e9d777c044c64ef748a880bd0ae,cfc2dfbf92ccf7263d0a607e02a6e1fed9d8e89bd1556cfa7f88d7ad55f3bb59,a9dadc7dd5ee7b20d8bc5e42b49aea0679785a74bdf9a62a926ed49c1f3712e5,build-e8-tflm-tiny-artifacts-v3,,,,,current_flash_only_logging_off_no_e8_measurement,126414,cmsis_nn_int8_when_compatible,,,
ExecuTorch,kws,sram_baseline_latency,True,sram,42416,23808,28222,5534,19420,3268,94446,249044,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,f8d2b95cf5312ee44594d3e1184876ff0801fe8b787c4dfd06c74680f80885ad,12a9b8afa5d4097074a9cffa49a6114b26d2a68849fbea70b20106178122b411,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v6-latency,2329507.553333333,5.823768883333333,29580,current_e8_400mhz_logging_on,154598,export_selected_cortex_m,3,300,e8-et-tiny-2026-09-17-v6.json
ExecuTorch,kws,sram_baseline_size,False,sram,42416,12398,24494,3030,19420,2044,79308,207508,333c377efb3722f72c50f3afa2c680b87bb43669afc3302d6402c4ad06b99825,5a074cd04c083ca16e47cfd6b44459f6397466d45a231e8eb3b35f670bcfe381,779f8b638f62243fdcebdcdc113f2e048d0fba3341940b47b7bb5b45e4de1d9c,build-e8-et-tiny-artifacts-v6,,,,,current_flash_only_logging_off_no_e8_measurement,128200,export_selected_cortex_m,,,
TFLM,ic,sram_baseline_latency,True,sram,98496,11860,28756,11666,16548,542,139112,278020,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,fa349322cab8681a6ffa626be6d1a9d570a6d84de26540dc35f4cc68be80d7a0,0bfb6e4a3f99ea93ee4232afbb904c09a5c295a21de7e7f3fe39c20a5c14280d,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v3-latency,6261149.273333333,15.652873183333334,55816,current_e8_400mhz_logging_on,138908,cmsis_nn_int8_when_compatible,3,300,e8-tflm-tiny-2026-09-17-v3.json
TFLM,ic,sram_baseline_size,False,sram,98496,10538,26076,9052,16548,476,135110,261540,3c002613d1b2475eb51dd78dfb85a546c8ae658dee71cf6ade43b022fe205415,3051154fa0d5491fdf06f9c1b9d7f59f2c94ab9bf53612bb3a455b40e5f07944,93d5850f45455b7beb0722b71a1c302aad71af9221d68214e07e77e42bdd9dd0,build-e8-tflm-tiny-artifacts-v3,,,,,current_flash_only_logging_off_no_e8_measurement,126430,cmsis_nn_int8_when_compatible,,,
ExecuTorch,ic,sram_baseline_latency,True,sram,96152,23808,21794,5134,13380,3280,141754,298684,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,cc18f69d1afd32c1237d66f17000a8f90eeb6b651e50b4cf3f6616f5b7d2693c,385a2180324f1c12cda9a26d056b83727455111930c96e5f616cd2a6419b5d76,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v6-latency,6092558.32,15.231395800000001,59744,current_e8_400mhz_logging_on,156930,export_selected_cortex_m,3,300,e8-et-tiny-2026-09-17-v6.json
ExecuTorch,ic,sram_baseline_size,False,sram,96152,12398,18132,2698,13380,2054,126682,257436,59ac303b4f51db427c6cbccc3a628e65361202d8c93ce8580febbd5072ff74ba,1da52bd1bc4bfe11e0bc2e3c0476b237e0954054689d9c462c3f09b0aef1bc96,6ce6225b0a8b627e78c568984bcb14b7142261972c43de38926a738b545a86c6,build-e8-et-tiny-artifacts-v6,,,,,current_flash_only_logging_off_no_e8_measurement,130754,export_selected_cortex_m,,,
TFLM,vww,sram_baseline_latency,True,sram,333288,11870,34154,10964,22648,542,379312,518444,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,1aa71b6db5288bc25e9d650bc79b44b5b8c9b321ed16303cdff5456711414312,1c5a53c725426ce84915a35048a5fb0b37be20edca9460803ee7002a90df214b,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v3-latency,9597726.746666666,23.994316866666665,101560,current_e8_400mhz_logging_on,139132,cmsis_nn_int8_when_compatible,3,300,e8-tflm-tiny-2026-09-17-v3.json
TFLM,vww,sram_baseline_size,False,sram,333288,10548,31314,8190,22648,476,375150,501564,597a384c8c2c8a1276f04702f25013b7838f2f814f1ca7c174d295b73e3d6b7b,731ea2570bdbca42baed9544e44c8c6a5a50d9f7bd8e242b72fb7031af8b3c57,ef5dc017326151bfa9f3cd77b8ddff0b2c27717103ecaa555b288756807145f4,build-e8-tflm-tiny-artifacts-v3,,,,,current_flash_only_logging_off_no_e8_measurement,126414,cmsis_nn_int8_when_compatible,,,
ExecuTorch,vww,sram_baseline_latency,True,sram,270792,23808,28222,5534,19420,3268,322822,504572,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,7ee641ecd5c55d54239a8b46e4a82c4872e1681e64e92e3c6e95c32ae9e1290d,e9222210212166455a32e0d3b66f323434b2695f9a4c847dae3615c5eebd72c2,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v6-latency,8699238.776666667,21.748096941666667,96412,current_e8_400mhz_logging_on,181750,export_selected_cortex_m,3,300,e8-et-tiny-2026-09-17-v6.json
ExecuTorch,vww,sram_baseline_size,False,sram,270792,12398,24494,3030,19420,2044,307684,463036,65a207a5b9218f0604e83390e01e603066602b61443164879991ca4acd73ee5e,868361297ce1e531cd3100f8962de8bd3fdbe8f78a59838da8a2e29dfec081f1,aacb7482c26495d680e80f2bfc6756f1586745acda69c118c9cb51356626c1a0,build-e8-et-tiny-artifacts-v6,,,,,current_flash_only_logging_off_no_e8_measurement,155352,export_selected_cortex_m,,,
TFLM,ad,sram_baseline_latency,True,sram,276976,11030,8696,2734,5684,278,296702,430660,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,0fb6aff1aeae67b92df5083a2f61ac592f9c7b8ef04992457d4b0ccc1b03184b,ab9ab99e15fe5853ff6f53de3c4991262d6b7a19311851f842e032df6511b65a,build-e8-tflm-tiny-artifacts-v3,build-e8-tflm-tiny-artifacts-v3-latency,481860.0733333333,1.2046501833333332,9876,current_e8_400mhz_logging_on,133958,cmsis_nn_int8_when_compatible,3,300,e8-tflm-tiny-2026-09-17-v3.json
TFLM,ad,sram_baseline_size,False,sram,276976,9748,7978,2060,5684,234,294702,419444,87cf24194ef93d1d9b11a591d805526b98008e351655d29883c825c9c106ba24,c084092aba8db274590cde93042b2e9b63eff0baef43c7e13d766b431b5d1bba,855b996391e7d496f393bc2861151a1a18213fea3f1de63d7712cf4b36abaeed,build-e8-tflm-tiny-artifacts-v3,,,,,current_flash_only_logging_off_no_e8_measurement,124742,cmsis_nn_int8_when_compatible,,,
ExecuTorch,ad,sram_baseline_latency,True,sram,279968,23808,4040,456,1552,2032,307816,458500,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,bb3cb9a483d11b6a33c2c095f9f53fa9fd99d7bf359d940734d846c7ef38d30e,2776d46f11a40afe1dbf9b01f12b260d7ab5bdf2179b60d952a018a4df27a9a5,build-e8-et-tiny-artifacts-v6,build-e8-et-tiny-artifacts-v6-latency,482995.52,1.2074888000000001,6248,current_e8_400mhz_logging_on,150684,export_selected_cortex_m,3,300,e8-et-tiny-2026-09-17-v6.json
ExecuTorch,ad,sram_baseline_size,False,sram,279968,12398,2924,280,1552,1092,295290,423108,5e35dd811a1c4626db316bdf0fcf462803e967914f00acf99a4eeabd7a19a4cb,cdffd15f9e2e76cfbd61e3945584a8384ab604adf3bcf628a4a2a74d3753bda7,2ad46a46e09a8851233386597fbf0d1a59b960d2e04defcd179e47fe05ae5928,build-e8-et-tiny-artifacts-v6,,,,,current_flash_only_logging_off_no_e8_measurement,127818,export_selected_cortex_m,,,
TFLM,kws,historical_O3,True,,53936,18032,76880,18508,56776,1596,148848,,,,d5bf4881707f14304ec04c721dd9ce9b1905a96c58ba64504e5d61a4524296c6,build-e8-tflm-tiny-artifacts,,2414759.6766666668,6.0368991916666666,28136,historical_e8_400mhz_logging_on,,generic,,,
ExecuTorch,kws,historical_O3,True,,42800,39188,35932,9740,20228,5964,117920,,,,432e7f1014fbab647e700767ac1475ea4636e7d2e1730941c458db9c1eb2840e,build-e8-et-tiny-artifacts-v4,,2535821.276666667,6.339553191666667,49916,historical_e8_400mhz_logging_on,,export_selected_cortex_m,,,
TFLM,ic,historical_O3,True,,98496,17968,76604,31692,43312,1600,193068,,,,8549a14b747bcba38f3e1d630151051466df1ee4dbd347fc082e86a4ab8aa863,build-e8-tflm-tiny-artifacts,,6288159.236666666,15.720398091666667,55816,historical_e8_400mhz_logging_on,,generic,,,
ExecuTorch,ic,historical_O3,True,,95896,39188,24652,5592,14156,4904,159736,,,,f13d8ec853e141f52c3aa38aaa7f419568ddced23ab862ca4434a46f3c7419aa,build-e8-et-tiny-artifacts-v4,,6068978.09,15.172445224999999,59744,historical_e8_400mhz_logging_on,,export_selected_cortex_m,,,
TFLM,vww,historical_O3,True,,333288,18032,76880,18508,56776,1596,428200,,,,31b5d9b1fa36ec78a9f2dca6b2fc1b0009023d57e9aa6847528f4c7d612bc834,build-e8-tflm-tiny-artifacts,,9560690.406666666,23.901726016666665,101560,historical_e8_400mhz_logging_on,,generic,,,
ExecuTorch,vww,historical_O3,True,,267848,39188,31676,6092,20228,5356,338712,,,,30c1f9fb2dd7ac684e8e513571fb37cf74714ff15addc03551111732eb888e24,build-e8-et-tiny-artifacts-v4,,8570704.67,21.426761674999998,96412,historical_e8_400mhz_logging_on,,export_selected_cortex_m,,,
TFLM,ad,historical_O3,True,,276976,16652,14788,4292,10224,272,308416,,,,d5eb8c46cda00c83432abedd6245c413a30737eade2569b6c0ee5f469d8f7814,build-e8-tflm-tiny-artifacts,,481121.2266666667,1.2028030666666667,9876,historical_e8_400mhz_logging_on,,generic,,,
ExecuTorch,ad,historical_O3,True,,279968,39188,4904,584,1552,2768,324060,,,,afe37f244faa86b4cecc0511b5b4e6fd3b2de3326933ff5bdc261cd47f2beea0,build-e8-et-tiny-artifacts-v4,,483520.24,1.2088006,6248,historical_e8_400mhz_logging_on,,export_selected_cortex_m,,,
