model,tflm_mean_ms,et_v4_mean_ms,tflm_ram_bytes,et_v4_ram_bytes,tflm_model_runtime_flash_bytes,et_v4_model_runtime_flash_bytes,latency_change_percent,ram_change_percent,flash_change_percent
kws,6.0368991916666666,6.339553191666667,28136,49916,148848,117920,5.0134015889777395,77.4097241967586,-20.77824357734064
ic,15.720398091666667,15.172445224999999,55816,59744,193068,159736,-3.4856169892869104,7.037408628350295,-17.264383533262894
vww,23.901726016666665,21.426761674999998,101560,96412,428200,338712,-10.354751535269358,-5.06892477353289,-20.898645492760394
ad,1.2028030666666667,1.2088006,9876,6248,308416,324060,0.49862970086651526,-36.73552045362495,5.072369786262709
